Screen Name,User Name,Tweet Created At,Tweet Text,Tweet Coordinates,Retweet Count,Phone Type,Favorite Count,Favorited,Type
CNBC,CNBC,2019-08-02 7:49,US Treasury yields tick lower after Trump imposes new tariffs on China https://t.co/mWCNRdhDq2,None,8,SocialFlow,12,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 7:46,Jeff Bezos sells $1.8 billion worth of Amazon stock in three days https://t.co/98fCQKUqgg,None,33,SocialFlow,71,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 7:35,Beijing responds to Trump's new $300 billion tariff threat https://t.co/I4OFZwpTxG,None,30,SocialFlow,38,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 7:18,These are the 20 universities around the world that produce the richest grads. (via @CNBCMakeIt) https://t.co/HfytPUd6KU,None,9,SocialFlow,18,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 7:12,People are buying digital 'clothes' that aren't real — and they could be the next Instagram hit https://t.co/Y90EMwMiLf,None,7,SocialFlow,14,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 7:07,Dow futures slightly lower after Trump's $300 billion China tariff threat https://t.co/44oUMiOSZK,None,8,SocialFlow,15,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 7:01,In this 2011 clip from CNBC Classic then Texas Governor and Republican Primary Candidate Rick Perry said he'd elimi… https://t.co/jzWzrJJ3Nk,None,2,Twitter Media Studio,15,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 6:55,"Shopify stock jumps after earnings beat, and it's up nearly 150% year to datehttps://www.cnbc.com/2019/08/01/shopify-earnings.html",None,5,SocialFlow,16,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 6:44,Trump is threatening France over its digital tax – these countries could be next https://t.co/1hW4MHZDzk,None,18,SocialFlow,36,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 6:42,Millions of barrels of Iranian crude are sitting in Chinese ports — and could disrupt oil markets https://t.co/Zt5nW8WARw,None,16,SocialFlow,19,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 6:37,Analyst: Trump's new tariffs are a 'sword at the throat' of the US economy — not China's https://t.co/PPupIa21a2,None,40,SocialFlow,52,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 6:20,Kim Kardashian's trainer wakes up at 4 a.m. and skips breakfast—here's a look at her daily routine. (via… https://t.co/Xv4xme17Ul,None,13,SocialFlow,48,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 6:17,Goldman: Here's China's likely next step to Trump's new trade threat https://t.co/i1ycTbkzFs,None,15,SocialFlow,16,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 6:09,RBS second-quarter profit beats estimates; warns of tough economic outlook https://t.co/aaAgEGPg62,None,4,SocialFlow,4,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 6:09,"China looks like it can hold out longer than the US in the trade war, strategist says https://t.co/4Hy0ureiA5",None,39,SocialFlow,65,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 6:03,"For decades, the U.S. was the unquestioned leader in space travel. Now, the private space industry is taking off ar… https://t.co/ID9GkZWJfQ",None,3,Twitter Media Studio,19,FALSE,from:cnbc -filter:retweets
